id,eixo,objetivo,foco_estrategico,acao,responsavel,prazo_categoria,prazo_qualificador,data_limite,indicador,meta,recursos,status,percentual_execucao,data_atualizacao,evidencia,observacoes,campus
AGU-47,Águas e Efluentes,,,Evitar o desperdício de água na lavagem dos veículos da UFSB,"DINFRA, DIRAD, Coord. de Apoio Administrativo dos Campi",Curtíssimo,,,"Diretrizes orientando os procedimentos para lavagem da frota de veículos, prevendo o uso racional de água",,,Não iniciada,0,,,PDF p.66,Todos
AGU-48,Águas e Efluentes,,,Reduzir por meio do reaproveitamento ou eliminar o uso de água da lavagem dos veículos,"DINFRA, DIRAD, Coord. de Apoio Administrativo dos Campi",Curtíssimo,,,"Sistemas instalados e operantes ou Termo de referência com a empresa terceirizada. Diretrizes orientando os procedimentos para lavagem da frota de veículos, prevendo o uso racional da água.",,,Não iniciada,0,,,PDF p.66,Todos
AGU-49,Águas e Efluentes,,,"Contratar empresas que reutilizam a água das lavagens dos veículos ou não fazem uso de água e, usam produtos biodegradáveis",DIRAD,Curto,,,Termo de referência assinado com a empresa prestadora de serviço,,,Não iniciada,0,,,PDF p.66,Todos
QV-01,Qualidade de Vida,,,Criar um setor de saúde e qualidade de vida dos servidores da UFSB,,Curto,,,Setor criado,,,Não iniciada,0,,,PDF p.134,Todos
QV-02,Qualidade de Vida,,,Alocar os médicos que estão lotados no SAAS para o setor criado,,Curto,,,Número de servidores lotados no novo setor,,,Não iniciada,0,,,PDF p.134,Todos
QV-03,Qualidade de Vida,,,Remanejar ou contratar servidores para este novo setor,,Curto a Médio,,,Número de servidores remanejados ou contratados,,,Não iniciada,0,,,PDF p.134,Todos
QV-04,Qualidade de Vida,,,Abrir um edital para inscrição dos servidores interessados em,,Curto,,,Edital publicado,,,Não iniciada,0,,,PDF p.134,Todos
QV-05,Qualidade de Vida,,,Divulgar o edital entre os servidores da UFSB,,Curto,,,Notícias e chamadas publicadas no site e redes sociais oficiais da UFSB,,,Não iniciada,0,,,PDF p.135,Todos
QV-06,Qualidade de Vida,,,Realizar um curso de capacitação com conhecimentos sobre Ergonomia - diagnóstico e intervenções,,Curto,,,Curso realizado,,,Não iniciada,0,,,PDF p.135,Todos
QV-07,Qualidade de Vida,,,Criar um cronograma de reuniões quadrimestrais do Comitê de Ergonomia,,Curto,contínuo,,Cronograma definido,,,Não iniciada,0,,,PDF p.135,Todos
QV-08,Qualidade de Vida,,,Realizar reuniões seguindo o cronograma definido pelo Comitê de Ergonomia.,,Curto,contínuo,,Número de reuniões realizadas/ano,,,Não iniciada,0,,,PDF p.135,Todos
QV-09,Qualidade de Vida,,,Realizar uma análise ergonômica por meio da observação dos postos de trabalho,,Curto,contínuo,,Pesquisa realizada,,,Não iniciada,0,,,PDF p.135,Todos
QV-10,Qualidade de Vida,,,"Realizar avaliação da percepção dos servidores quanto as condições de saúde, trabalho e qualidade de vida",,Curto,contínuo,,"Avaliação realizada e Publicação das informações, quando pertinentes nos canais institucionais",,,Não iniciada,0,,,PDF p.135,Todos
